ID;S_CODE;NAME;REL;DATEOUT
Уникальный идентификатор ;Код услуги;Полное название ;Признак актуальности ;Дата упразднения 
1088;A01.01.001;Сбор анамнеза и жалоб в дерматологии;1;
1089;A01.01.001.001;Сбор анамнеза и жалоб при термических, химических и электрических ожогах;1;
1090;A01.01.002;Визуальное исследование в дерматологии;1;
1091;A01.01.002.001;Визуальное исследование при термических, химических и электрических ожогах;1;
1092;A01.01.003;Пальпация в дерматологии;1;
1093;A01.01.003.001;Пальпация при термических, химических и электрических ожогах;1;
1094;A01.01.004;Сбор анамнеза и жалоб в косметологии;1;
1095;A01.01.005;Определение дермографизма;1;
1096;A01.02.001;Сбор анамнеза и жалоб при заболеваниях мышц;1;
1097;A01.02.002;Визуальное исследование мышц;1;
1098;A01.02.003;Пальпация мышц;1;
1099;A01.03.001;Сбор анамнеза и жалоб при патологии костной системы;1;
1100;A01.03.002;Визуальное исследование костной системы;1;
1101;A01.03.003;Пальпация костной системы;1;
1102;A01.03.004;Перкуссия костной системы;1;
1103;A01.04.001;Сбор анамнеза и жалоб при патологии суставов;1;
1104;A01.04.002;Визуальное исследование суставов;1;
1105;A01.04.003;Пальпация суставов;1;
1106;A01.04.004;Перкуссия суставов;1;
1107;A01.05.001;Сбор анамнеза и жалоб при заболеваниях органов кроветворения и крови;1;
1108;A01.05.002;Визуальное исследование при заболеваниях органов кроветворения и крови;1;
1109;A01.05.003;Пальпация при заболеваниях органов кроветворения и крови;1;
1110;A01.05.004;Перкуссия при заболеваниях органов кроветворения и крови;1;
1111;A01.06.001;Сбор анамнеза и жалоб при патологии органов иммунной системы;1;
1112;A01.06.002;Визуальное исследование при патологии органов иммунной системы;1;
1113;A01.06.003;Пальпация при патологии органов иммунной системы;1;
1114;A01.07.001;Сбор анамнеза и жалоб при патологии полости рта;1;
1115;A01.07.001.001;Сбор анамнеза и жалоб при патологии полости рта, включая черепно-челюстно-лицевой области;1;
1116;A01.07.002;Визуальное исследование при патологии полости рта;1;
1117;A01.07.002.001;Визуальное исследование при патологии полости рта, включая черепно-челюстно-лицевой области;1;
1118;A01.07.003;Пальпация органов полости рта;1;
1119;A01.07.003.001;Пальпация при патологии полости рта, включая черепно-челюстно-лицевой области;1;
1120;A01.07.004;Перкуссия при патологии полости рта;1;
1121;A01.07.004.001;Перкуссия при патологии полости рта, включая черепно-челюстно-лицевой области;1;
1122;A01.07.005;Внешний осмотр челюстно-лицевой области;1;
1123;A01.07.006;Пальпация челюстно-лицевой области;1;
1124;A01.07.007;Определение степени открывания рта и ограничения подвижности нижней челюсти;1;
1125;A01.08.001;Сбор анамнеза и жалоб при заболеваниях верхних дыхательных путей;1;
1126;A01.08.002;Визуальное исследование верхних дыхательных путей;1;
1127;A01.08.003;Пальпация при заболеваниях верхних дыхательных путей;1;
1128;A01.08.004;Перкуссия при заболеваниях верхних дыхательных путей;1;
1129;A01.09.001;Сбор анамнеза и жалоб при заболеваниях легких и бронхов;1;
1130;A01.09.002;Визуальное исследование при заболеваниях легких и бронхов;1;
1131;A01.09.003;Пальпация при заболеваниях легких и бронхов;1;
1132;A01.09.004;Перкуссия при заболеваниях легких и бронхов;1;
1133;A01.09.005;Аускультация при заболеваниях легких и бронхов;1;
1134;A01.10.001;Сбор анамнеза и жалоб при патологии сердца и перикарда;1;
1135;A01.10.002;Визуальное исследование при патологии сердца и перикарда;1;
1136;A01.10.003;Пальпация при патологии сердца и перикарда;1;
1137;A01.10.004;Перкуссия при патологии сердца и перикарда;1;
1138;A01.10.005;Аускультация при патологии сердца и перикарда;1;
1139;A01.11.001;Сбор анамнеза и жалоб при патологии средостения;1;
1140;A01.11.002;Пальпация при патологии средостения;1;
1141;A01.11.003;Перкуссия при патологии средостения;1;
1142;A01.12.001;Сбор анамнеза и жалоб при сосудистой патологии;1;
1143;A01.12.002;Визуальное исследование при сосудистой патологии;1;
1144;A01.12.003;Пальпация при сосудистой патологии;1;
1145;A01.12.004;Аускультация при сосудистой патологии;1;
