ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
1;01003;1177746612581;010543001;АДЫГЕЙСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;АДЫГЕЙСКИЙ ФИЛИАЛ ООО ВТБ МС;РЕСПУБЛИКА АДЫГЕЯ, Г. МАЙКОП, УЛ. СОВЕТСКАЯ, Д.184;ОЖЕВ;МУРАТ;КАЗБЕКОВИЧ;8-8772-593200;8-8772-593200;8-800-1008005;ADIGEYA@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;06.06.2017;26.03.2020
2;01004;1027739008440;010543001;"АДЫГЕЙСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АДЫГЕЙСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РЕСПУБЛИКА АДЫГЕЯ, Г. МАЙКОП, УЛ. СОВЕТСКАЯ, 184;ОЖЕВ;МУРАТ;КАЗБЕКОВИЧ;8-8772-593200;8-8772-593200;8-800-1000702;ADYGEYA@SOGAZ-MED;ОС-3230-01;28.02.2019;31.12.2099;27.08.2019;
3;02001;1027739099772;027802001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ УФЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. УФЕ";РЕСПУБЛИКА БАШКОРТОСТАН, Г.УФА, ПР-Т ОКТЯБРЯ, Д.4/2;ЕРЕМКИНА;АЛЕКСАНДРА;ГЕННАДЬЕВНА;8-347-2823618;8-347-2823618;8-800-5553503;UFAMAKCM@MAKCM.RU, EREMKINAAG@MAKCM.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
4;02003;1027402236620;027543001;"ФИЛИАЛ ООО СМК ""АСТРА-МЕТАЛЛ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН";"ФИЛИАЛ ООО СМК ""АСТРА-МЕТАЛЛ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН";РЕСПУБЛИКА БАШКОРТОСТАН, Г.УФА, УЛ. ЛЕНИНА, Д. 33/1;САЛИМГАРЕЕВА;ЭЛЬВИРА;ХУСНУЛЛОВНА;8-347-2862122;8-347-2862124;8-800-2500160;UFA@ASTRAMETALL.RU;ОС № 0758-01;09.06.2015;31.12.2099;01.01.2011;
5;02004;1027806865481;027443001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЕСПУБЛИКЕ БАШКОРТОСТАН";РЕСПУБЛИКА БАШКОРТОСТАН, Г.УФА, УЛ. МЕНДЕЛЕЕВА, Д.128, КОРПУС 1;АХМЕТОВ;НАИЛЬ;МИДХАТОВИЧ;8-347-2228494;8-347-2228495;8-800-1008102;NAIL.AHMETOV@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
6;02008;1027739008440;027403001;"УФИМСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"УФИМСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. ПАРХОМЕНКО, Д.156, КОРП. 3;ФАРАХОВА;ДИАНА;ТАГИРОВНА;8-347-2726147;8-347-2501531;8-800-1000702;FARAHOVA.DIANA@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
7;02010;1141690061391;027443001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЕ МЕДИЦИНСКОЕ ОБЩЕСТВО ""СПАСЕНИЕ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН ""БАШКИРСКАЯ МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ""";"БАШКИРСКИЙ ФИЛИАЛ ""СПАСЕНИЕ-БМСК""";РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. ДОСТОЕВСКОГО, Д. 100;МАХМУТОВА;АНГЕЛИНА;ЕВГЕНЬЕВНА;8-347-2465779;8-347-2465779;8-800-1000717;AMAHMUTOVA@16SP.RU;ОС № 3528-01;25.05.2020;31.12.2099;25.08.2011;
8;02014;1047100775963;027843001;"ФИЛИАЛ ""БАШКОРТОСТАН"" ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"ФИЛИАЛ ""БАШКОРТОСТАН"" ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. БАБУШКИНА, Д. 25;КОРЖАВИН;АЛЕКСЕЙ;ГЕРМАНОВИЧ;8-347-2235789, 8-347-2237494;8-347-2235789;8-800-5551001;KORZHAVINAG@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;31.08.2015;
9;02016;1025004642519;027443001;"УФИМСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"УФИМСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. КИРОВА, Д. 31;ЮСУПОВА;РАИСА;МАНСУРОВНА;8-347-2872384;8-347-2872384;8-800-2009204;OFFICE@UFA.RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;17.08.2017;
10;03101;1027739008440;032343001;"БУРЯТСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"БУРЯТСКИЙ ФИЛИАЛ АО ""СК ""СОГАЗ-МЕД""";РЕСПУБЛИКА БУРЯТИЯ,Г.УЛАН-УДЭ,ОКТЯБРЬСКИЙ РАЙОН,БАБУШКИНА,Д.22Б;ГАВРИЛОВ;ЮРИЙ;АНАТОЛЬЕВИЧ;8-301-2466515;8-301-2466520;8-800-1000702;UU@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;01.01.2011;
